OBJECTID,ZONING_,ZONING_REP,ZONING_DET,PD_Type,SDD,SDD_SECTIO,Comment,Applicatio,Resolution,Ordinance,OrdinanceU,Zoning
743,PD,Planned Development,Planned Development,Residential - SFR,NA,NA,NA,ZC 88-22,91-167,89-027,http://citydocuments.hayward-ca.gov/WebLink/DocView.aspx?id=53779&dbid=0&repo=COHDATA,1
744,PD,Planned Development,Planned Development,Residential - Townhomes,NA,NA,NA,ZC 71-17,NA,NA,NA,2
745,PD,Planned Development,Planned Development,Residential - Apartments,NA,NA,NA,ZC 17601,NA,67-054,NA,2
746,PD,Planned Development,Planned Development,Residential - SFR,NA,NA,NA,PZ 87-6,87-269,87-026,http://citydocuments.hayward-ca.gov/WebLink/DocView.aspx?id=53857&dbid=0&repo=COHDATA,1
747,PD,Planned Development,Planned Development,Residential - SFR,NA,NA,NA,TAYLOR ANNEX 1,NA,NA,NA,1
748,PD,Planned Development,Planned Development,Residential - SFR,NA,NA,NA,NA,NA,NA,NA,1
749,PD,Planned Development,Planned Development,Residential - SFR,NA,NA,NA,TAYLOR ANNEX 1,NA,NA,NA,1
750,PD,Planned Development,Planned Development,Residential - SFR,NA,NA,NA,NA,NA,NA,NA,1
751,PD,Planned Development,Planned Development,Residential - SFR,NA,NA,NA,PZ 86-12,86-233,86-030,http://citydocuments.hayward-ca.gov/WebLink/DocView.aspx?id=53881&dbid=0&repo=COHDATA,1
752,PD,Planned Development,Planned Development,Residential - SFR,NA,NA,NA,NA,NA,NA,NA,1
753,PD,Planned Development,Planned Development,Residential - SFR,NA,NA,NA,PZ 86-12,86-233,86-030,http://citydocuments.hayward-ca.gov/WebLink/DocView.aspx?id=53881&dbid=0&repo=COHDATA,1
754,PD,Planned Development,Planned Development,Residential - SFR,NA,NA,NA,NA,NA,NA,NA,1
755,PD,Planned Development,Planned Development,Residential - SFR,NA,NA,NA,ZC 83-4,84-127,83-015,http://citydocuments.hayward-ca.gov/WebLink/DocView.aspx?id=54009&dbid=0&repo=COHDATA,1
756,PD,Planned Development,Planned Development,Residential - SFR,NA,NA,NA,ZC 82-17,83-271,83-007,http://citydocuments.hayward-ca.gov/WebLink/DocView.aspx?id=54017&dbid=0&repo=COHDATA,1
757,PD,Planned Development,Planned Development,Residential - SFR,NA,NA,NA,ZC 83-5,84-127,83-015,http://citydocuments.hayward-ca.gov/WebLink/DocView.aspx?id=54009&dbid=0&repo=COHDATA,1
758,PD,Planned Development,Planned Development,Residential - SFR,NA,NA,NA,ZC 93-10,94-119,95-06,http://citydocuments.hayward-ca.gov/WebLink/DocView.aspx?id=42914&dbid=0&repo=COHDATA,1
759,PD,Planned Development,Planned Development,Residential - SFR,NA,NA,NA,ZC 83-5,84-127,83-015,http://citydocuments.hayward-ca.gov/WebLink/DocView.aspx?id=54009&dbid=0&repo=COHDATA,1
760,PD,Planned Development,Planned Development,Residential - SFR,NA,NA,NA,ZC 94-94,97-105,96-01,http://citydocuments.hayward-ca.gov/WebLink/DocView.aspx?id=42886&dbid=0&repo=COHDATA,1
761,PD,Planned Development,Planned Development,Residential - SFR,NA,NA,NA,ZC 94-94,97-105,96-01,http://citydocuments.hayward-ca.gov/WebLink/DocView.aspx?id=42886&dbid=0&repo=COHDATA,1
762,PD,Planned Development,Planned Development,Residential - SFR,NA,NA,NA,ZC 94-94,97-105,96-01,http://citydocuments.hayward-ca.gov/WebLink/DocView.aspx?id=42886&dbid=0&repo=COHDATA,1
763,PD,Planned Development,Planned Development,Residential - SFR,NA,NA,NA,ZC 94-94,97-105,96-01,http://citydocuments.hayward-ca.gov/WebLink/DocView.aspx?id=42886&dbid=0&repo=COHDATA,1
764,PD,Planned Development,Planned Development,Residential - SFR,NA,NA,NA,ZC 94-94,97-105,96-01,http://citydocuments.hayward-ca.gov/WebLink/DocView.aspx?id=42886&dbid=0&repo=COHDATA,1
765,PD,Planned Development,Planned Development,Residential - SFR,NA,NA,NA,ZC 94-94,97-105,96-01,http://citydocuments.hayward-ca.gov/WebLink/DocView.aspx?id=42886&dbid=0&repo=COHDATA,1
766,PD,Planned Development,Planned Development,Residential - SFR,NA,NA,NA,ZC 94-94,97-105,96-01,http://citydocuments.hayward-ca.gov/WebLink/DocView.aspx?id=42886&dbid=0&repo=COHDATA,1
767,PD,Planned Development,Planned Development,Residential - SFR,NA,NA,NA,ZC 94-94,97-105,96-01,http://citydocuments.hayward-ca.gov/WebLink/DocView.aspx?id=42886&dbid=0&repo=COHDATA,1
768,PD,Planned Development,Planned Development,Residential - SFR,NA,NA,NA,ZC 94-94,97-105,96-01,http://citydocuments.hayward-ca.gov/WebLink/DocView.aspx?id=42886&dbid=0&repo=COHDATA,1
769,PD,Planned Development,Planned Development,Residential - Townhomes,NA,NA,NA,ZC 77-9,78-023,NA,NA,2
770,PD,Planned Development,Planned Development,Residential - SFR,NA,NA,NA,ZC 94-94,97-105,96-01,http://citydocuments.hayward-ca.gov/WebLink/DocView.aspx?id=42886&dbid=0&repo=COHDATA,1
771,PD,Planned Development,Planned Development,Residential - SFR,NA,NA,NA,ZC 94-94,97-105,96-01,http://citydocuments.hayward-ca.gov/WebLink/DocView.aspx?id=42886&dbid=0&repo=COHDATA,1
772,PD,Planned Development,Planned Development,Residential - SFR,NA,NA,NA,ZC 94-94,97-105,96-01,http://citydocuments.hayward-ca.gov/WebLink/DocView.aspx?id=42886&dbid=0&repo=COHDATA,1
773,PD,Planned Development,Planned Development,Residential - SFR,NA,NA,NA,ZC 77-18,78-291,NA,NA,1
774,PD,Planned Development,Planned Development,Residential - SFR,NA,NA,NA,ZC 77-18,78-291,NA,NA,1
775,PD,Planned Development,Planned Development,Residential - SFR,NA,NA,NA,ZC 77-18,78-291,NA,NA,1
776,PD,Planned Development,Planned Development,Residential - SFR,NA,NA,NA,ZC 77-18,78-291,NA,NA,1
777,PD,Planned Development,Planned Development,Residential - SFR,NA,NA,NA,ZC 77-18,78-291,NA,NA,1
778,PD,Planned Development,Planned Development,Residential - SFR,NA,NA,NA,ZC 78-2,79-021,NA,NA,1
779,PD,Planned Development,Planned Development,Residential - SFR,NA,NA,NA,ZC 78-2,79-021,NA,NA,1
780,PD,Planned Development,Planned Development,Cemetery,NA,NA,NA,NA,NA,NA,NA,0
781,PD,Planned Development,Planned Development,Residential - SFR,NA,NA,NA,NA,NA,NA,NA,1
782,PD,Planned Development,Planned Development,Residential - SFR,NA,NA,NA,ZC 78-5,79-077,NA,NA,1
783,PD,Planned Development,Planned Development,Public Agency,NA,NA,NA,NA,NA,NA,NA,0
784,PD,Planned Development,Planned Development,Public Agency,NA,NA,NA,NA,NA,NA,NA,0
785,PD,Planned Development,Planned Development,Residential - Townhomes / SFR,SD4,/DEPARTMENTS/CITY-CLERK/ZONING/sec%2010-1.2600%20special%20design%20overlay.pdf,NA,PL 2003-0657,05-005,05-01,http://citydocuments.hayward-ca.gov/WebLink/DocView.aspx?id=128644&dbid=0&repo=COHDATA,2
786,PD,Planned Development,Planned Development,Commercial - Retail,NA,NA,NA,ZC 99-120-01,99-148,99-16,http://citydocuments.hayward-ca.gov/WebLink/DocView.aspx?id=45011&dbid=0&repo=COHDATA,0
787,PD,Planned Development,Planned Development,Commercial - Retail,NA,NA,NA,ZC 72-16,72-350,72-035,NA,0
788,PD,Planned Development,Planned Development,Residential - MFR,NA,NA,Never built?????,PL 2007-0340,07-127-10,07-10,http://citydocuments.hayward-ca.gov/WebLink/DocView.aspx?id=128694&dbid=0&repo=COHDATA,2
789,PD,Planned Development,Planned Development,Public Agency,NA,NA,NA,ZC 83-13,84-053,84-008,http://citydocuments.hayward-ca.gov/WebLink/DocView.aspx?id=53977&dbid=0&repo=COHDATA,0
790,PD,Planned Development,Planned Development,Residential - SFR,NA,NA,NA,PL 2004-0189,05-139,05-16,http://citydocuments.hayward-ca.gov/WebLink/DocView.aspx?id=128659&dbid=0&repo=COHDATA,1
791,PD,Planned Development,Planned Development,Residential - Condominiums,NA,NA,NA,PL 2004-0189,05-139,05-16,http://citydocuments.hayward-ca.gov/WebLink/DocView.aspx?id=128659&dbid=0&repo=COHDATA,2
792,PD,Planned Development,Planned Development,Rural,SD5,/DEPARTMENTS/CITY-CLERK/ZONING/sec%2010-1.2600%20special%20design%20overlay.pdf,NA,PL 2005-0158,05-098,05-05,http://citydocuments.hayward-ca.gov/WebLink/DocView.aspx?id=128648&dbid=0&repo=COHDATA,1
793,PD,Planned Development,Planned Development,Residential - Apartments,NA,NA,NA,ZC 19225,NA,NA,NA,2
794,PD,Planned Development,Planned Development,Residential,SD5,/DEPARTMENTS/CITY-CLERK/ZONING/sec%2010-1.2600%20special%20design%20overlay.pdf,NA,ZC 19225,NA,NA,NA,1
795,PD,Planned Development,Planned Development,Residential - Condominiums,NA,NA,NA,ZC 84-2,85-134,85-013,http://citydocuments.hayward-ca.gov/WebLink/DocView.aspx?id=53935&dbid=0&repo=COHDATA,2
796,PD,Planned Development,Planned Development,Commercial,NA,NA,NA,PL 2007-0594,09-007,09-01,http://citydocuments.hayward-ca.gov/WebLink/DocView.aspx?id=128732&dbid=0&repo=COHDATA,0
797,PD,Planned Development,Planned Development,Residential,SD4,/DEPARTMENTS/CITY-CLERK/ZONING/sec%2010-1.2600%20special%20design%20overlay.pdf,NA,PL 2005-0167,05-153,05-18,http://citydocuments.hayward-ca.gov/WebLink/DocView.aspx?id=128661&dbid=0&repo=COHDATA,2
798,PD,Planned Development,Planned Development,Residential,SD4,/DEPARTMENTS/CITY-CLERK/ZONING/sec%2010-1.2600%20special%20design%20overlay.pdf,NA,PL 2005-0167,05-153,05-18,http://citydocuments.hayward-ca.gov/WebLink/DocView.aspx?id=128661&dbid=0&repo=COHDATA,2
799,PD,Planned Development,Planned Development,Residential,SD4,/DEPARTMENTS/CITY-CLERK/ZONING/sec%2010-1.2600%20special%20design%20overlay.pdf,NA,PL 2005-0167,05-153,05-18,http://citydocuments.hayward-ca.gov/WebLink/DocView.aspx?id=128661&dbid=0&repo=COHDATA,2
800,PD,Planned Development,Planned Development,Residential,SD4,/DEPARTMENTS/CITY-CLERK/ZONING/sec%2010-1.2600%20special%20design%20overlay.pdf,NA,PL 2005-0167,05-153,05-18,http://citydocuments.hayward-ca.gov/WebLink/DocView.aspx?id=128661&dbid=0&repo=COHDATA,2
801,PD,Planned Development,Planned Development,Residential,SD4,/DEPARTMENTS/CITY-CLERK/ZONING/sec%2010-1.2600%20special%20design%20overlay.pdf,NA,PL 2005-0167,05-153,05-18,http://citydocuments.hayward-ca.gov/WebLink/DocView.aspx?id=128661&dbid=0&repo=COHDATA,2
802,PD,Planned Development,Planned Development,Residential,SD4,/DEPARTMENTS/CITY-CLERK/ZONING/sec%2010-1.2600%20special%20design%20overlay.pdf,NA,PL 2005-0167,05-153,05-18,http://citydocuments.hayward-ca.gov/WebLink/DocView.aspx?id=128661&dbid=0&repo=COHDATA,2
803,PD,Planned Development,Planned Development,Residential,SD4,/DEPARTMENTS/CITY-CLERK/ZONING/sec%2010-1.2600%20special%20design%20overlay.pdf,NA,PL 2005-0167,05-153,05-18,http://citydocuments.hayward-ca.gov/WebLink/DocView.aspx?id=128661&dbid=0&repo=COHDATA,2
804,PD,Planned Development,Planned Development,Residential,SD4,/DEPARTMENTS/CITY-CLERK/ZONING/sec%2010-1.2600%20special%20design%20overlay.pdf,NA,NA,NA,NA,NA,2
805,PD,Planned Development,Planned Development,Residential,SD4,/DEPARTMENTS/CITY-CLERK/ZONING/sec%2010-1.2600%20special%20design%20overlay.pdf,NA,PL 2005-0167,05-153,05-18,http://citydocuments.hayward-ca.gov/WebLink/DocView.aspx?id=128661&dbid=0&repo=COHDATA,2
806,PD,Planned Development,Planned Development,Residential,SD4,/DEPARTMENTS/CITY-CLERK/ZONING/sec%2010-1.2600%20special%20design%20overlay.pdf,NA,PL 2005-0167,05-153,05-18,http://citydocuments.hayward-ca.gov/WebLink/DocView.aspx?id=128661&dbid=0&repo=COHDATA,2
807,PD,Planned Development,Planned Development,Residential,SD4,/DEPARTMENTS/CITY-CLERK/ZONING/sec%2010-1.2600%20special%20design%20overlay.pdf,NA,PL 2005-0167,05-153,05-18,http://citydocuments.hayward-ca.gov/WebLink/DocView.aspx?id=128661&dbid=0&repo=COHDATA,2
808,PD,Planned Development,Planned Development,Residential,SD4,/DEPARTMENTS/CITY-CLERK/ZONING/sec%2010-1.2600%20special%20design%20overlay.pdf,NA,PL 2005-0167,05-153,05-18,http://citydocuments.hayward-ca.gov/WebLink/DocView.aspx?id=128661&dbid=0&repo=COHDATA,2
809,PD,Planned Development,Planned Development,Residential,SD4,/DEPARTMENTS/CITY-CLERK/ZONING/sec%2010-1.2600%20special%20design%20overlay.pdf,NA,PL 2005-0167,05-153,05-18,http://citydocuments.hayward-ca.gov/WebLink/DocView.aspx?id=128661&dbid=0&repo=COHDATA,2
810,PD,Planned Development,Planned Development,Commercial,SD4,/DEPARTMENTS/CITY-CLERK/ZONING/sec%2010-1.2600%20special%20design%20overlay.pdf,NA,ZC 83-10,83-256,83-019,http://citydocuments.hayward-ca.gov/WebLink/DocView.aspx?id=54004&dbid=0&repo=COHDATA,0
811,PD,Planned Development,Planned Development,Religious,NA,NA,NA,PL 2008-0280,09-129,09-09,http://citydocuments.hayward-ca.gov/WebLink/DocView.aspx?id=128740&dbid=0&repo=COHDATA,0
812,PD,Planned Development,Planned Development,Residential - MFR,SD1,/DEPARTMENTS/CITY-CLERK/ZONING/sec%2010-1.2600%20special%20design%20overlay.pdf,NA,PL 2010-0369,11-046,11-04,http://citydocuments.hayward-ca.gov/WebLink/DocView.aspx?id=128775&dbid=0&repo=COHDATA,2
813,PD,Planned Development,Planned Development,Residential - Group Home,NA,NA,NA,PL 2004-0246,04-127,04-10,http://citydocuments.hayward-ca.gov/WebLink/DocView.aspx?id=128633&dbid=0&repo=COHDATA,2
814,PD,Planned Development,Planned Development,Residential - SFR,NA,NA,NA,NA,NA,NA,NA,1
815,PD,Planned Development,Planned Development,Residential - SFR,NA,NA,NA,NA,NA,NA,NA,1
816,PD,Planned Development,Planned Development,Residential - MFR,NA,NA,NA,ZC 92-5,97-160,92-27,http://citydocuments.hayward-ca.gov/WebLink/DocView.aspx?id=43056&dbid=0&repo=COHDATA,2
817,PD,Planned Development,Planned Development,Residential - SFR,NA,NA,NA,PL 2002-0722,03-148,03-15,http://citydocuments.hayward-ca.gov/WebLink/DocView.aspx?id=128620&dbid=0&repo=COHDATA,1
818,PD,Planned Development,Planned Development,Residential - SFR,NA,NA,NA,PL 2010-0380,13-079,13-07,http://citydocuments.hayward-ca.gov/WebLink/DocView.aspx?id=155412&dbid=0&repo=COHDATA,1
819,PF,Public Facilities,Public Facilities,NA,SD7,/DEPARTMENTS/CITY-CLERK/ZONING/sec%2010-1.2600%20special%20design%20overlay.pdf,NA,NA,NA,NA,NA,0
820,PF,Public Facilities,Public Facilities,NA,SD7,/DEPARTMENTS/CITY-CLERK/ZONING/sec%2010-1.2600%20special%20design%20overlay.pdf,NA,NA,NA,NA,NA,0
821,PF,Public Facilities,Public Facilities,NA,NA,/DEPARTMENTS/CITY-CLERK/ZONING/sec%2010-1.2600%20special%20design%20overlay.pdf,NA,NA,NA,NA,NA,0
822,PF,Public Facilities,Public Facilities,NA,SD4,/DEPARTMENTS/CITY-CLERK/ZONING/sec%2010-1.2600%20special%20design%20overlay.pdf,NA,NA,NA,NA,NA,0
823,PF,Public Facilities,Public Facilities,NA,SD4,/DEPARTMENTS/CITY-CLERK/ZONING/sec%2010-1.2600%20special%20design%20overlay.pdf,NA,NA,NA,NA,NA,0
824,RH,High Density Residential,"High Density Residential - Min. Lot Area - 1,250 Sq Ft",NA,NA,NA,NA,NA,NA,NA,NA,2
825,RH,High Density Residential,"High Density Residential - Min. Lot Area - 1,250 Sq Ft",NA,NA,NA,NA,NA,NA,NA,NA,2
826,RH,High Density Residential,"High Density Residential - Min. Lot Area - 1,250 Sq Ft",NA,NA,NA,NA,NA,NA,NA,NA,2
827,RH,High Density Residential,"High Density Residential - Min. Lot Area - 1,250 Sq Ft",NA,NA,NA,NA,NA,NA,NA,NA,2
828,RH,High Density Residential,"High Density Residential - Min. Lot Area - 1,250 Sq Ft",NA,NA,NA,NA,NA,NA,NA,NA,2
829,RH,High Density Residential,"High Density Residential - Min. Lot Area - 1,250 Sq Ft",NA,NA,NA,NA,NA,NA,NA,NA,2
830,RH,High Density Residential,"High Density Residential - Min. Lot Area - 1,250 Sq Ft",NA,NA,NA,NA,NA,NA,NA,NA,2
831,RH,High Density Residential,"High Density Residential - Min. Lot Area - 1,250 Sq Ft",NA,NA,NA,NA,NA,NA,NA,NA,2
832,RH,High Density Residential,"High Density Residential - Min. Lot Area - 1,250 Sq Ft",NA,SD7,/DEPARTMENTS/CITY-CLERK/ZONING/sec%2010-1.2600%20special%20design%20overlay.pdf,NA,NA,NA,NA,NA,2
833,RH,High Density Residential,"High Density Residential - Min. Lot Area - 1,250 Sq Ft",NA,NA,NA,NA,NA,NA,NA,NA,2
834,RH,High Density Residential,"High Density Residential - Min. Lot Area - 1,250 Sq Ft",NA,NA,NA,NA,NA,NA,NA,NA,2
835,RH,High Density Residential,"High Density Residential - Min. Lot Area - 1,250 Sq Ft",NA,NA,NA,NA,NA,NA,NA,NA,2
836,RH,High Density Residential,"High Density Residential - Min. Lot Area - 1,250 Sq Ft",NA,NA,NA,NA,NA,NA,NA,NA,2
837,RH,High Density Residential,"High Density Residential - Min. Lot Area - 1,250 Sq Ft",NA,NA,NA,NA,NA,NA,NA,NA,2
838,RH,High Density Residential,"High Density Residential - Min. Lot Area - 1,250 Sq Ft",NA,NA,NA,NA,NA,NA,NA,NA,2
839,RH,High Density Residential,"High Density Residential - Min. Lot Area - 1,250 Sq Ft",NA,NA,NA,NA,NA,NA,NA,NA,2
840,RH,High Density Residential,"High Density Residential - Min. Lot Area - 1,250 Sq Ft",NA,NA,NA,NA,NA,NA,NA,NA,2
841,RH,High Density Residential,"High Density Residential - Min. Lot Area - 1,250 Sq Ft",NA,NA,NA,NA,NA,NA,NA,NA,2
842,RH,High Density Residential,"High Density Residential - Min. Lot Area - 1,250 Sq Ft",NA,NA,NA,NA,NA,NA,NA,NA,2
843,RH,High Density Residential,"High Density Residential - Min. Lot Area - 1,250 Sq Ft",NA,NA,NA,NA,NA,NA,NA,NA,2
844,RH,High Density Residential,"High Density Residential - Min. Lot Area - 1,250 Sq Ft",NA,NA,NA,NA,NA,NA,NA,NA,2
845,RH,High Density Residential,"High Density Residential - Min. Lot Area - 1,250 Sq Ft",NA,NA,NA,NA,NA,NA,NA,NA,2
846,RH,High Density Residential,"High Density Residential - Min. Lot Area - 1,250 Sq Ft",NA,NA,NA,NA,NA,NA,NA,NA,2
847,RH,High Density Residential,"High Density Residential - Min. Lot Area - 1,250 Sq Ft",NA,NA,NA,NA,NA,NA,NA,NA,2
848,RH,High Density Residential,"High Density Residential - Min. Lot Area - 1,250 Sq Ft",NA,NA,NA,NA,NA,NA,NA,NA,2
849,RH,High Density Residential,"High Density Residential - Min. Lot Area - 1,250 Sq Ft",NA,NA,NA,NA,NA,NA,NA,NA,2
850,RH,High Density Residential,"High Density Residential - Min. Lot Area - 1,250 Sq Ft",NA,NA,NA,NA,NA,NA,NA,NA,2
851,RH,High Density Residential,"High Density Residential - Min. Lot Area - 1,250 Sq Ft",NA,NA,NA,NA,NA,NA,NA,NA,2
852,RH,High Density Residential,"High Density Residential - Min. Lot Area - 1,250 Sq Ft",NA,NA,NA,NA,NA,NA,NA,NA,2
853,RH,High Density Residential,"High Density Residential - Min. Lot Area - 1,250 Sq Ft",NA,NA,NA,NA,NA,NA,NA,NA,2
854,RH,High Density Residential,"High Density Residential - Min. Lot Area - 1,250 Sq Ft",NA,NA,NA,NA,NA,NA,NA,NA,2
855,RH,High Density Residential,"High Density Residential - Min. Lot Area - 1,250 Sq Ft",NA,NA,NA,NA,NA,NA,NA,NA,2
856,RH,High Density Residential,"High Density Residential - Min. Lot Area - 1,250 Sq Ft",NA,NA,NA,NA,NA,NA,NA,NA,2
857,RH,High Density Residential,"High Density Residential - Min. Lot Area - 1,250 Sq Ft",NA,NA,NA,NA,NA,NA,NA,NA,2
858,RH,High Density Residential,"High Density Residential - Min. Lot Area - 1,250 Sq Ft",NA,NA,NA,NA,NA,NA,NA,NA,2
859,RH,High Density Residential,"High Density Residential - Min. Lot Area - 1,250 Sq Ft",NA,NA,NA,NA,NA,NA,NA,NA,2
860,RH,High Density Residential,"High Density Residential - Min. Lot Area - 1,250 Sq Ft",NA,NA,NA,NA,NA,NA,NA,NA,2
861,RH,High Density Residential,"High Density Residential - Min. Lot Area - 1,250 Sq Ft",NA,NA,NA,NA,NA,NA,NA,NA,2
862,RH,High Density Residential,"High Density Residential - Min. Lot Area - 1,250 Sq Ft",NA,NA,NA,NA,NA,NA,NA,NA,2
863,RH,High Density Residential,"High Density Residential - Min. Lot Area - 1,250 Sq Ft",NA,NA,NA,NA,NA,NA,NA,NA,2
864,RH,High Density Residential,"High Density Residential - Min. Lot Area - 1,250 Sq Ft",NA,NA,NA,NA,NA,NA,NA,NA,2
865,RH,High Density Residential,"High Density Residential - Min. Lot Area - 1,250 Sq Ft",NA,SD4,/DEPARTMENTS/CITY-CLERK/ZONING/sec%2010-1.2600%20special%20design%20overlay.pdf,NA,NA,NA,NA,NA,2
866,RH,High Density Residential,"High Density Residential - Min. Lot Area - 1,250 Sq Ft",NA,NA,NA,NA,NA,NA,NA,NA,2
867,RH,High Density Residential,"High Density Residential - Min. Lot Area - 1,250 Sq Ft",NA,NA,NA,NA,NA,NA,NA,NA,2
868,RH,High Density Residential,"High Density Residential - Min. Lot Area - 1,250 Sq Ft",NA,NA,NA,NA,NA,NA,NA,NA,2
869,RH,High Density Residential,"High Density Residential - Min. Lot Area - 1,250 Sq Ft",NA,NA,NA,NA,NA,NA,NA,NA,2
870,RH,High Density Residential,"High Density Residential - Min. Lot Area - 1,250 Sq Ft",NA,NA,NA,NA,NA,NA,NA,NA,2
871,RH,High Density Residential,"High Density Residential - Min. Lot Area - 1,250 Sq Ft",NA,NA,NA,NA,NA,NA,NA,NA,2
872,RH,High Density Residential,"High Density Residential - Min. Lot Area - 1,250 Sq Ft",NA,NA,NA,NA,NA,NA,NA,NA,2
873,RH,High Density Residential,"High Density Residential - Min. Lot Area - 1,250 Sq Ft",NA,NA,NA,NA,NA,NA,NA,NA,2
874,RH,High Density Residential,"High Density Residential - Min. Lot Area - 1,250 Sq Ft",NA,NA,NA,NA,NA,NA,NA,NA,2
875,RH,High Density Residential,"High Density Residential - Min. Lot Area - 1,250 Sq Ft",NA,NA,NA,NA,NA,NA,NA,NA,2
876,RH,High Density Residential,"High Density Residential - Min. Lot Area - 1,250 Sq Ft",NA,NA,NA,NA,NA,NA,NA,NA,2
877,RH,High Density Residential,"High Density Residential - Min. Lot Area - 1,250 Sq Ft",NA,NA,NA,NA,NA,NA,NA,NA,2
878,RH,High Density Residential,"High Density Residential - Min. Lot Area - 1,250 Sq Ft",NA,NA,NA,NA,NA,NA,NA,NA,2
879,RH,High Density Residential,"High Density Residential - Min. Lot Area - 1,250 Sq Ft",NA,NA,NA,NA,NA,NA,NA,NA,2
880,RH,High Density Residential,"High Density Residential - Min. Lot Area - 1,250 Sq Ft",NA,NA,NA,NA,NA,NA,NA,NA,2
881,RH,High Density Residential,"High Density Residential - Min. Lot Area - 1,250 Sq Ft",NA,NA,NA,NA,NA,NA,NA,NA,2
882,RH,High Density Residential,"High Density Residential - Min. Lot Area - 1,250 Sq Ft",NA,NA,NA,NA,NA,NA,NA,NA,2
883,RH,High Density Residential,"High Density Residential - Min. Lot Area - 1,250 Sq Ft",NA,NA,NA,NA,NA,NA,NA,NA,2
884,RH,High Density Residential,"High Density Residential - Min. Lot Area - 1,250 Sq Ft",NA,NA,NA,NA,NA,NA,NA,NA,2
885,RH,High Density Residential,"High Density Residential - Min. Lot Area - 1,250 Sq Ft",NA,NA,NA,NA,NA,NA,NA,NA,2
886,RH,High Density Residential,"High Density Residential - Min. Lot Area - 1,250 Sq Ft",NA,NA,NA,NA,NA,NA,NA,NA,2
887,RH,High Density Residential,"High Density Residential - Min. Lot Area - 1,250 Sq Ft",NA,NA,NA,NA,NA,NA,NA,NA,2
888,RH,High Density Residential,"High Density Residential - Min. Lot Area - 1,250 Sq Ft",NA,NA,NA,NA,NA,NA,NA,NA,2
889,RH,High Density Residential,"High Density Residential - Min. Lot Area - 1,250 Sq Ft",NA,NA,NA,NA,NA,NA,NA,NA,2
890,RH,High Density Residential,"High Density Residential - Min. Lot Area - 1,250 Sq Ft",NA,NA,NA,NA,NA,NA,NA,NA,2
891,RH,High Density Residential,"High Density Residential - Min. Lot Area - 1,250 Sq Ft",NA,NA,NA,NA,NA,NA,NA,NA,2
892,RH,High Density Residential,"High Density Residential - Min. Lot Area - 1,250 Sq Ft",NA,NA,NA,NA,NA,NA,NA,NA,2
893,RH,High Density Residential,"High Density Residential - Min. Lot Area - 1,250 Sq Ft",NA,NA,NA,NA,NA,NA,NA,NA,2
894,RH,High Density Residential,"High Density Residential - Min. Lot Area - 1,250 Sq Ft",NA,NA,NA,NA,NA,NA,NA,NA,2
895,RH,High Density Residential,"High Density Residential - Min. Lot Area - 1,250 Sq Ft",NA,NA,NA,NA,NA,NA,NA,NA,2
896,RH,High Density Residential,"High Density Residential - Min. Lot Area - 1,250 Sq Ft",NA,NA,NA,NA,NA,NA,NA,NA,2
897,PD,Planned Development,Planned Development,Planned Development-HighDensity Residential,SD4,/DEPARTMENTS/CITY-CLERK/ZONING/sec%2010-1.2600%20special%20design%20overlay.pdf,NA,PL 2013-0084,14-023,14-10,http://citydocuments.hayward-ca.gov/WebLink/DocView.aspx?id=175898&dbid=0&repo=COHDATA,2
898,RH,High Density Residential,"High Density Residential - Min. Lot Area - 1,250 Sq Ft",NA,SD4,/DEPARTMENTS/CITY-CLERK/ZONING/sec%2010-1.2600%20special%20design%20overlay.pdf,NA,NA,NA,NA,NA,2
899,RH,High Density Residential,"High Density Residential - Min. Lot Area - 1,250 Sq Ft",NA,SD7,/DEPARTMENTS/CITY-CLERK/ZONING/sec%2010-1.2600%20special%20design%20overlay.pdf,NA,NA,NA,NA,NA,2
900,RH,High Density Residential,"High Density Residential - Min. Lot Area - 1,250 Sq Ft",NA,SD7,/DEPARTMENTS/CITY-CLERK/ZONING/sec%2010-1.2600%20special%20design%20overlay.pdf,NA,NA,NA,NA,NA,2
901,RH,High Density Residential,"High Density Residential - Min. Lot Area - 1,250 Sq Ft",NA,SD7,/DEPARTMENTS/CITY-CLERK/ZONING/sec%2010-1.2600%20special%20design%20overlay.pdf,NA,NA,NA,NA,NA,2
902,RH,High Density Residential,"High Density Residential - Min. Lot Area - 1,250 Sq Ft",NA,NA,NA,NA,NA,NA,NA,NA,2
903,RHB7,High Density Residential,"High Density Residential - Min. Lot Area - 1,250 Sq Ft",NA,NA,NA,NA,NA,NA,NA,NA,2
904,RM,Medium Density Residential,Medium Density Residential,NA,NA,NA,NA,NA,NA,NA,NA,2
905,RM,Medium Density Residential,Medium Density Residential,NA,NA,NA,NA,NA,NA,NA,NA,2
906,RM,Medium Density Residential,Medium Density Residential,NA,NA,NA,NA,NA,NA,NA,NA,2
907,RM,Medium Density Residential,Medium Density Residential,NA,NA,NA,NA,NA,NA,NA,NA,2
908,RM,Medium Density Residential,Medium Density Residential,NA,NA,NA,NA,NA,NA,NA,NA,2
909,RM,Medium Density Residential,Medium Density Residential,NA,NA,NA,NA,NA,NA,NA,NA,2
910,RM,Medium Density Residential,Medium Density Residential,NA,NA,NA,NA,NA,NA,NA,NA,2
911,RM,Medium Density Residential,Medium Density Residential,NA,NA,NA,NA,NA,NA,NA,NA,2
